Total word count: 25652
Unique word count: 6342
Word frequencies:
thumb: 4
serve: 4
fight: 4
among: 4
hate: 4
beat: 4
noise: 4
go.: 4
fire: 4
pay: 4
close: 4
sword: 4
hurt: 4
Came: 4
either: 4
golden: 4
window: 4
deep: 4
home: 4
Unless: 4
envious: 4
stay,: 4
hours: 4
Alas,: 4
rough: 4
loving: 4
bright: 4
cold: 4
this.: 4
Tut,: 4
Tell: 4
cousin,: 4
dies: 4
now.: 4
mistress: 4
note: 4
street.: 4
PARIS,: 4
bound: 4
honourable: 4
seen: 4
change: 4
Such: 4
stars: 4
names: 4
wife: 4
here.: 4
know'st: 4
Faith,: 4
yet,: 4
days: 4
merry: 4
Wilt: 4
left: 4
'Ay.': 4
too,: 4
Peace,: 4
might: 4
honour: 4
marriage: 4
ladies: 4
already: 4
Thus: 4
you?: 4
eyes.: 4
book: 4
Speak: 4
nurse: 4
county: 4
IV.: 4
torch: 4
that's: 4
to-night.: 4
things: 4
empty: 4
oft: 4
thus: 4
foul: 4
away: 4
night's: 4
V.: 4
too.: 4
longer: 4
house,: 4
near: 4
tale: 4
gone:: 4
light,: 4
is't: 4
place: 4
blessed: 4
rude: 4
hither,: 4
hither: 4
saint,: 4
prepare: 4
gone;: 4
honest: 4
ask: 4
means: 4
Can: 4
ran: 4
conjure: 4
not;: 4
anger: 4
spirit: 4
wish: 4
alone.: 4
wear: 4
speaks: 4
Call: 4
hateful: 4
Art: 4
art,: 4
murder: 4
Alack,: 4
lent: 4
prove: 4
world.: 4
flower: 4
next: 4
mine.: 4
gave: 4
Stay: 4
words,: 4
marriage,: 4
to-morrow: 4
back.: 4
ghostly: 4
grace: 4
itself: 4
Within: 4
keeps: 4
man's: 4
That's: 4
ring: 4
there's: 4
chide: 4
hence;: 4
haste.: 4
kinsman: 4
her;: 4
Peter,: 4
you!: 4
minute: 4
commend: 4
soul,: 4
half: 4
news?: 4
sour: 4
cheeks,: 4
Hie: 4
short: 4
head,: 4
Either: 4
look,: 4
houses!: 4
Page: 4
death!: 4
falls: 4
kill'd: 4
cousin!: 4
child!: 4
slain,: 4
Then,: 4
damned: 4
tears,: 4
mother,: 4
death;: 4
Knocking: 4
up;: 4
Juliet.: 4
Since: 4
late,: 4
hope,: 4
slaughter'd: 4
Mantua,: 4
poison,: 4
needs: 4
be,: 4
dagger: 4
vault,: 4
life,: 4
Death: 4
flowers: 4
tomb: 4
PAGE: 4
bury: 3
end,: 3
ears: 3
public: 3
swords: 3
mean,: 3
moved: 3
Montague: 3
stand:: 3
maid: 3
weak: 3
goes: 3
thrust: 3
wall:: 3
maids: 3
between: 3
fought: 3
sense: 3
known: 3
flesh.: 3
quarrel,: 3
thee!: 3
by,: 3
sir!: 3
lie.: 3
Put: 3
Benvolio,: 3
sword,: 3
thee:: 3
Citizen: 3
say!: 3
seek: 3
pain: 3
torture,: 3
ground,: 3
airy: 3
peace.: 3
Capulet;: 3
MONTAGUE,: 3
part,: 3
walk: 3
alone,: 3
sighs;: 3
begin: 3
curtains: 3
Away: 3
son,: 3
counsel: 3
learn: 3
air,: 3
sun.: 3
See,: 3
Ay: 3
sad: 3
Out: 3
all.: 3
thing,: 3
Dost: 3
coz,: 3
rather: 3
heart's: 3
own.: 3
Love: 3
here;: 3
thee?: 3
wit;: 3
strong: 3
bow: 3
sworn: 3
ruled: 3
teach: 3
precious: 3
read: 3
years,: 3
bride.: 3
feast,: 3
more.: 3
light:: 3
see,: 3
sirrah,: 3
written: 3
Find: 3
here!: 3
time.: 3
another's: 3
backward: 3
mad,: 3
merry!: 3
Signior: 3
brother: 3
herself: 3
best.: 3
sight: 3
room: 3
where's: 3
lamb!: 3
Where's: 3
Juliet!: 3
now!: 3
daughter's: 3
She's: 3
fourteen.: 3
Even: 3
Susan: 3
Were: 3
said,: 3
years;: 3
day:: 3
fool,: 3
'twas: 3
before,: 3
soul!: 3
Jule?': 3
jest: 3
choose: 3
done.: 3
mark: 3
e'er: 3
stands: 3
now;: 3
Are: 3
flower.: 3
Paris': 3
writ: 3
lends: 3
yourself: 3
cursed: 3
straight.: 3
MERCUTIO,: 3
five: 3
date: 3
We'll: 3
will;: 3
light.: 3
believe: 3
lead: 3
burden: 3
thing.: 3
in:: 3
mouse,: 3
going: 3
wit: 3
Mab: 3
shape: 3
wings: 3
small: 3
O'er: 3
kisses: 3
dream,: 3
Because: 3
dreams: 3
a': 3
air: 3
inconstant: 3
done,: 3
fear,: 3
closed: 3
save: 3
sought: 3
chamber.: 3
Welcome,: 3
gentlemen!: 3
Ah: 3
deny: 3
worn: 3
musicians,: 3
grown: 3
Capulet: 3
much,: 3
much:: 3
stand,: 3
sight!: 3
Montague.: 3
dares: 3
scorn: 3
kinsman!: 3
wherefore: 3
Young: 3
truth,: 3
to;: 3
You'll: 3
boy:: 3
Well: 3
seeming: 3
bitter: 3
this:: 3
kiss.: 3
faith: 3
craves: 3
mother?: 3
daughter,: 3
bed.: 3
nurse.: 3
Montague;: 3
lie,: 3
looks,: 3
back,: 3
out.: 3
likeness: 3
pronounce: 3
foot,: 3
raise: 3
strange: 3
hid: 3
sit: 3
open: 3
then;: 3
moon,: 3
grief,: 3
knew: 3
return.: 3
shame: 3
Would: 3
Unto: 3
Without: 3
Had: 3
word.: 3
hundred: 3
words: 3
wash'd: 3
dwell: 3
mayst: 3
trust: 3
Sweet,: 3
exchange: 3
faithful: 3
Madam!: 3
toward: 3
mine,: 3
then.: 3
almost: 3
peace: 3
cell,: 3
day's: 3
tomb;: 3
birth,: 3
turns: 3
lie;: 3
then?: 3
confession: 3
truly: 3
pure: 3
devil: 3
be?: 3
life.: 3
ear: 3
Tybalt?: 3
rest,: 3
gentleman: 3
immortal: 3
bones,: 3
both.: 3
after: 3
wits: 3
cry: 3
sure,: 3
whole: 3
here's: 3
Romeo;: 3
stop: 3
wouldst: 3
Gentlemen,: 3
found: 3
fault: 3
i': 3
something: 3
hare: 3
thither.: 3
dare: 3
God,: 3
ye,: 3
nurse?: 3
shrift: 3
cell: 3
cords: 3
say'st: 3
sweetest: 3
town,: 3
knife: 3
looks: 3
nurse;: 3
nine: 3
blood,: 3
swift: 3
honey: 3
Hast: 3
good,: 3
Fie,: 3
excuse: 3
man:: 3
no:: 3
beats: 3
God's: 3
got: 3
hie: 3
wife:: 3
fortune!: 3
heavens: 3
enough: 3
loathsome: 3
much.: 3
count: 3
alone: 3
church: 3
lain: 3
apt: 3
buy: 3
them.: 3
us?: 3
done: 3
love:: 3
shame,: 3
ROMEO's: 3
plague: 3
ay,: 3
friend,: 3
clouds,: 3
slain!: 3
company:: 3
both,: 3
Stand: 3
away!: 3
charge: 3
kinsman,: 3
was,: 3
deadly: 3
friends,: 3
tongue,: 3
attend: 3
night;: 3
bare: 3
I;: 3
corse,: 3
end: 3
banished.: 3
man?: 3
wife,: 3
banishment.: 3
chamber:: 3
is.: 3
him;: 3
forth;: 3
banish'd: 3
not:: 3
death?: 3
Hang: 3
Nurse!: 3
hand:: 3
form: 3
slay: 3
hollow: 3
rouse: 3
Things: 3
Look: 3
Wednesday: 3
Thursday,: 3
lord.: 3
lark,: 3
morning's: 3
lark: 3
unaccustom'd: 3
cousin's: 3
needy: 3
child,: 3
Peter's: 3
wife!: 3
wife.: 3
bridal: 3
alack,: 3
living: 3
power: 3
Look,: 3
Poor: 3
help!: 3
hear'st: 3
present: 3
Paris:: 3
to-morrow:: 3
drink: 3
bridegroom: 3
vault: 3
waking,: 3
friar: 3
Sirrah,: 3
hire: 3
ill,: 3
lick: 3
hither.: 3
Get: 3
knows: 3
wake: 3
Make: 3
Death,: 3
Most: 3
will.: 3
'Heart's: 3
iron: 3
took: 3
sell: 3
grave;: 3
churchyard: 3
Retires: 3
strew: 3
apprehend: 3
youth,: 3
monument.: 3
Watch,: 3
|: 2
PROLOGUE: 2
Verona,: 2
pair: 2
lovers: 2
life;: 2
parents': 2
rage,: 2
nought: 2
toil: 2
place.: 2
Gregory,: 2
carry: 2
draw.: 2
strike: 2
moved.: 2
valiant: 2
therefore,: 2
wall: 2
wall.: 2
wall,: 2
maids,: 2
heads: 2
able: 2
piece: 2
John.: 2
weapon: 2
How!: 2
Fear: 2
marry;: 2
frown: 2
pass: 2
them;: 2
thumb,: 2
side,: 2
No.: 2
no,: 2
Say: 2
Yes,: 2
Draw,: 2
blow.: 2
do.: 2
death.: 2
manage: 2
peace!: 2
hell,: 2
Montagues,: 2
Enter,: 2
enter: 2
Citizens,: 2
down!: 2
stir: 2
foe.: 2
Attendants: 2
quench: 2
rage: 2
veins,: 2
sentence: 2
Three: 2
streets,: 2
Verona's: 2
citizens: 2
old,: 2
disturb: 2
forfeit: 2
afternoon,: 2
pleasure: 2
case,: 2
common: 2
yours,: 2
drew: 2
fiery: 2
breathed: 2
winds,: 2
withal: 2
came,: 2
to-day?: 2
glad: 2
east,: 2
Where,: 2
underneath: 2
son:: 2
Towards: 2
affections: 2
humour: 2
gladly: 2
Many: 2
fresh: 2
Should: 2
private: 2
chamber: 2
locks: 2
daylight: 2
prove,: 2
cause: 2
uncle,: 2
Both: 2
secret: 2
close,: 2
bud: 2
whence: 2
sorrows: 2
cure: 2
please: 2
step: 2
wert: 2
shrift.: 2
struck: 2
nine.: 2
long.: 2
sadness: 2
which,: 2
short.: 2
view,: 2
heard: 2
hate!: 2
fire,: 2
sleep,: 2
is!: 2
weep.: 2
what?: 2
breast,: 2
raised: 2
eyes;: 2
tears:: 2
else?: 2
sweet.: 2
Soft!: 2
lost: 2
myself;: 2
sadness,: 2
Bid: 2
will:: 2
urged: 2
woman.: 2
supposed: 2
right: 2
she'll: 2
Cupid's: 2
proof: 2
siege: 2
encounter: 2
ope: 2
poor,: 2
waste,: 2
wise,: 2
wisely: 2
merit: 2
making: 2
vow: 2
her.: 2
giving: 2
Examine: 2
hers: 2
more:: 2
brows: 2
blind: 2
eyesight: 2
Show: 2
passing: 2
fair?: 2
Farewell:: 2
debt.: 2
think,: 2
reckoning: 2
pity: 2
fourteen: 2
made.: 2
part;: 2
Lies: 2
welcome,: 2
lusty: 2
delight: 2
Among: 2
be:: 2
none,: 2
Through: 2
persons: 2
stay.: 2
written,: 2
tailor: 2
sent: 2
writ,: 2
person: 2
writ.: 2
that.: 2
mad?: 2
prison,: 2
food,: 2
fellow.: 2
god-den.: 2
fortune: 2
Stay,: 2
daughters;: 2
beauteous: 2
lovely: 2
Mercutio: 2
Indeed,: 2
before.: 2
cup: 2
often: 2
burnt: 2
fairer: 2
along,: 2
rejoice: 2
twelve: 2
girl?: 2
calls?: 2
will?: 2
awhile,: 2
again;: 2
age: 2
hour.: 2
days.: 2
year,: 2
Lammas-eve: 2
eleven: 2
wormwood: 2
taste: 2
felt: 2
'Yea,': 2
face?: 2
wretch: 2
crying: 2
he;: 2
stinted: 2
this;: 2
brow: 2
big: 2
prettiest: 2
of.: 2
disposition: 2
suck'd: 2
wisdom: 2
summer: 2
gentleman?: 2
volume: 2
beauty's: 2
share: 2
gold: 2
women: 2
like,: 2
fly.: 2
guests: 2
served: 2
asked: 2
girl,: 2
BENVOLIO,: 2
Cupid: 2
measure,: 2
dance.: 2
dancing: 2
shoes: 2
soar: 2
bound,: 2
dull: 2
Under: 2
oppression: 2
down.: 2
visor: 2
blush: 2
ears.: 2
burn: 2
delay: 2
lights: 2
day.: 2
judgment: 2
sits: 2
asleep,: 2
true.: 2
fairies': 2
beams,: 2
whip: 2
bone,: 2
wagoner: 2
finger: 2
maid;: 2
state: 2
gallops: 2
knees,: 2
straight,: 2
Sometime: 2
dreams,: 2
soldier's: 2
deep;: 2
ear,: 2
starts: 2
sleeps: 2
presses: 2
children: 2
vain: 2
substance: 2
wind,: 2
blows: 2
late.: 2
term: 2
course,: 2
sail!: 2
gentlemen.: 2
Musicians: 2
Servingmen: 2
helps: 2
away?: 2
manners: 2
remove: 2
boy,: 2
meeting: 2
ha,: 2
dance?: 2
swear,: 2
now?: 2
Music: 2
hot.: 2
sport: 2
sit,: 2
days:: 2
ago.: 2
[To: 2
torches: 2
hangs: 2
ear;: 2
dear!: 2
fellows: 2
hers,: 2
voice,: 2
slave: 2
solemnity?: 2
sin.: 2
storm: 2
foe,: 2
virtuous: 2
patient,: 2
presence: 2
ill-beseeming: 2
endure: 2
boy!: 2
Am: 2
saucy: 2
chance: 2
what:: 2
hearts!: 2
go:: 2
shame!: 2
quiet.: 2
perforce: 2
ready: 2
smooth: 2
touch: 2
pilgrim,: 2
saints: 2
palm: 2
too?: 2
grant: 2
lest: 2
effect: 2
wise: 2
talk'd: 2
foolish: 2
late:: 2
yond: 2
heir: 2
name:: 2
married.: 2
wedding: 2
enemy.: 2
loathed: 2
what's: 2
learn'd: 2
Anon,: 2
Chorus: 2
desire: 2
heir;: 2
loves: 2
steal: 2
held: 2
less: 2
means,: 2
forward: 2
stol'n: 2
way,: 2
orchard: 2
Mercutio.: 2
Venus: 2
shot: 2
loved: 2
scarlet: 2
leg: 2
appear: 2
mistress': 2
nature,: 2
blind,: 2
were,: 2
sleep:: 2
soft!: 2
sun,: 2
she:: 2
maid,: 2
vestal: 2
green: 2
it;: 2
cast: 2
bold,: 2
speaks:: 2
Having: 2
entreat: 2
stars,: 2
sing: 2
messenger: 2
gaze: 2
name;: 2
thyself,: 2
Montague?: 2
thee;: 2
drunk: 2
camest: 2
kinsmen: 2
stony: 2
sweet,: 2
here:: 2
ended: 2
wanting: 2
place?: 2
Else: 2
to-night: 2
form,: 2
fain: 2
false;: 2
think'st: 2
cunning: 2
Lady,: 2
Lest: 2
likewise: 2
all;: 2
wilt,: 2
to-night:: 2
lightning,: 2
cease: 2
breast!: 2
to-night?: 2
withdraw: 2
have:: 2
within;: 2
adieu!: 2
Sweet: 2
Exit,: 2
JULIET,: 2
to-morrow,: 2
thee--: 2
To-morrow: 2
want: 2
again!: 2
lies,: 2
forgot: 2
forget,: 2
silk: 2
I:: 2
sorrow,: 2
Sleep: 2
Hence: 2
father's: 2
hap: 2
LAURENCE,: 2
smiles: 2
streaks: 2
cheer: 2
dry,: 2
flowers.: 2
nature's: 2
womb: 2
herbs,: 2
aught: 2
sometimes: 2
heart.: 2
worser: 2
Full: 2
morrow,: 2
father.: 2
morrow: 2
youth: 2
sin!: 2
Rosaline,: 2
father?: 2
name's: 2
woe.: 2
feasting: 2
lo,: 2
finds: 2
met,: 2
Holy: 2
deal: 2
cheeks: 2
salt: 2
water: 2
sighs: 2
thyself: 2
fall,: 2
Rosaline.: 2
loving,: 2
grave,: 2
have.: 2
wench,: 2
write: 2
letter.: 2
master,: 2
white: 2
cats,: 2
fights: 2
ah,: 2
Jesu,: 2
flesh,: 2
grey: 2
French: 2
counterfeit: 2
fairly: 2
courtesy.: 2
courteous: 2
sole: 2
remain: 2
wearing: 2
Benvolio;: 2
faint.: 2
wild-goose: 2
goose?: 2
goose.: 2
jest.: 2
goose,: 2
wide: 2
broad: 2
Stop: 2
two;: 2
Peter!: 2
Anon!: 2
fan,: 2
face;: 2
less,: 2
gentlewoman,: 2
troth,: 2
said;: 2
Yea,: 2
well?: 2
bawd,: 2
hare,: 2
unless: 2
hoar: 2
spent.: 2
hoar,: 2
meat: 2
lady;: 2
farewell,: 2
farewell!: 2
shall.: 2
Scurvy: 2
knave!: 2
knave: 2
occasion: 2
side.: 2
afore: 2
Pray: 2
told: 2
myself:: 2
young;: 2
mistress.: 2
devise: 2
behind: 2
Must: 2
Farewell;: 2
bless: 2
Hark: 2
counsel,: 2
toad,: 2
rosemary: 2
begins: 2
ten: 2
shadows: 2
over: 2
hours,: 2
youthful: 2
motion: 2
met: 2
Send: 2
look'st: 2
Though: 2
shamest: 2
bones: 2
had!: 2
speak;: 2
speak.: 2
haste?: 2
breath?: 2
bad?: 2
that;: 2
simple: 2
excels: 2
body,: 2
Beshrew: 2
about,: 2
says,: 2
Henceforward: 2
cell;: 2
wanton: 2
nest: 2
Honest: 2
farewell.: 2
smile: 2
can,: 2
violent: 2
delights: 2
so;: 2
everlasting: 2
matter: 2
sum: 2
hot,: 2
Capulets: 2
scape: 2
hot: 2
mad: 2
indeed: 2
need.: 2
hair: 2
spy: 2
egg: 2
another,: 2
Capulets.: 2
'Zounds,: 2
men:: 2
place,: 2
us.: 2
sir:: 2
worship: 2
afford: 2
farewell;: 2
satisfied.: 2
calm,: 2
lives;: 2
bold: 2
pluck: 2
ears?: 2
Drawing: 2
Tybalt!: 2
enough.: 2
too:: 2
mortal: 2
stain'd: 2
temper: 2
brave: 2
earth.: 2
woe,: 2
end.: 2
fury: 2
conduct: 2
late: 2
wretched: 2
determine: 2
gone!: 2
slain.: 2
fortune's: 2
fool!: 2
&: 2
c: 2
murderer,: 2
Tybalt.: 2
Prince,: 2
fray?: 2
unlucky: 2
brother's: 2
shed: 2
bethink: 2
nice: 2
deaf: 2
point: 2
cries: 2
stout: 2
newly: 2
beg: 2
friend;: 2
hence:: 2
repent: 2
lodging:: 2
or,: 2
match,: 2
modesty.: 2
tedious: 2
robes: 2
Alack: 2
dismal: 2
wound,: 2
corse;: 2
ashes,: 2
press: 2
gentleman!: 2
lord?: 2
general: 2
living,: 2
gone?: 2
God!: 2
blood?: 2
fiend: 2
Just: 2
forsworn,: 2
aqua: 2
griefs,: 2
woes,: 2
born: 2
beast: 2
cousin?: 2
mangled: 2
husband:: 2
native: 2
slain;: 2
murder'd: 2
guilty: 2
'banished,': 2
'Romeo: 2
dead.: 2
sound.: 2
forth,: 2
parts,: 2
doom?: 2
tidings: 2
body's: 2
merciful,: 2
terror: 2
banished:: 2
world,: 2
world's: 2
banished,: 2
murders: 2
Taking: 2
state,: 2
Romeo:: 2
wonder: 2
free: 2
'banished'?: 2
fond: 2
they,: 2
mightst: 2
search: 2
Who's: 2
this!: 2
come!: 2
weeping: 2
sake,: 2
death's: 2
Juliet?: 2
she?: 2
nothing,: 2
weeps: 2
Hold: 2
wild: 2
order,: 2
thyself?: 2
earth?: 2
fie,: 2
shape,: 2
valour: 2
wit,: 2
powder: 2
happy:: 2
back;: 2
sullen: 2
heed,: 2
chamber,: 2
set,: 2
Mantua;: 2
stay'd: 2
daughter:: 2
company,: 2
woo.: 2
Sir: 2
doubt: 2
Wife,: 2
ha!: 2
to-morrow.: 2
Nightly: 2
sings: 2
yon: 2
morn,: 2
Mantua:: 2
yet;: 2
is:: 2
discords: 2
too!: 2
voice: 2
coming: 2
husband,: 2
hour,: 2
Farewell!: 2
bottom: 2
Dry: 2
fickle,: 2
Evermore: 2
tears?: 2
Therefore,: 2
wit.: 2
loss,: 2
for.: 2
lives.: 2
vengeance: 2
bore: 2
child;: 2
Church,: 2
Peter: 2
haste;: 2
tears;: 2
wrought: 2
have;: 2
'I: 2
joints: 2
baggage!: 2
disobedient: 2
fingers: 2
rate: 2
to't,: 2
week;: 2
dim: 2
monument: 2
return: 2
county.: 2
beshrew: 2
tears.: 2
be.: 2
confess: 2
shut: 2
If,: 2
remedy.: 2
roaring: 2
nightly: 2
quite: 2
new-made: 2
shroud;: 2
off;: 2
presently: 2
veins: 2
